day	xuke	Angelia	haowang	lixiang	mc	nll	wangziqi	yfy	zxs_miao	chaijun	hjn	Liyuhao	mff	qsy	www	zhb	CMPG_LAB	hqf	lzz	mql	rqy	Wangjun	zsw	hunter_killer
2017-08-02	0	0	0	0	0	0	0	0	0	0	0	0	1047890	0	0	0	0	0	0	0	551088	0	0	0
2017-08-03	0	0	0	0	0	0	0	0	0	0	0	3540480	2073600	0	0	0	0	0	0	0	4147200	0	0	0
2017-08-04	0	0	0	0	0	0	0	0	0	0	0	4147200	2073600	0	0	0	0	0	0	0	4147200	0	0	336285
2017-08-05	0	0	0	0	0	0	0	0	0	0	0	8130910	2073600	0	0	0	0	0	0	0	8166820	0	0	698610
2017-08-06	0	0	0	0	0	0	0	0	0	0	0	8294400	2073600	0	0	0	0	0	0	0	8294400	0	0	950400
2017-08-07	0	0	3453070	0	0	0	0	0	0	0	0	8295990	2073600	0	0	0	228.749	0	0	0	8294400	0	0	867486
2017-08-08	0	0	33172.2	0	0	0	0	0	0	0	0	8295550	66287.4	0	0	0	35340.9	0	0	0	8294400	0	0	411248
2017-08-09	0	0	2704420	0	0	0	0	0	0	0	173112	8289070	0	0	0	0	0	0	0	0	5569970	0	0	385168
2017-08-10	0	0	2296870	0	0	0	0	0	0	0	1686600	6122930	0	0	0	0	4532	0	0	0	1434290	0	0	5954890
2017-08-11	0	0	0	0	0	0	0	0	0	0	0	385968	0	0	0	0	0	0	0	0	0	0	0	3343780
